University,University Total Annual Expenses 2023 [Millions of Dollars],University Endowment [Millions of Dollars],Province,City,Example Department,Department,Program,Website,Domestic Tuition,Ancillary Fees,Total Domestic Fees,International Tuition,Int Ancillary Fees,Total Int Fees,Int Waiver,Guaranteed Funding,Years Guaranteed,Gross Stipend,Net Stipend,Gross Stipend International,Net Stipend Int,Hours TAing,Hours RAing,Date of collection,Academic Year of Stipend,Tuition Get / 2,Tuition Parse / 2,Stipend Get / 3,Stipend Complete / 3,Notes,Tuition Data,Stipend Data,MBM Threshold 2020,Notes on Thresholds ,MBM Threshold 2023,Rental Costs,Rental costs per year,Net domestic - MBM Threshold (2023) ,Net domestic - Rent/year,Net domestic - Rent - $12K,Net International - MBM Threshold (2023) ,Net International - Rent/year,Net International - Rent - $12K
Brock,385,122,ON,St. Catharines,Physics,Physics Department,MSc,https://www.physics.brocku.ca/,8176.23,1789.67,9965.9,20926.02,2545.67,23471.69,,No,,,,,,,,2024-04-18,,0,1,1,0,"""The Master of Science in Materials Physics International Student Program is an unfunded program.
Graduate students in the Faculty of Math and Science may be eligible for a variety of scholarships,
fellowships, and awards administered by Brock University and external agencies""",https://brocku.ca/safa/2024-graduate-tuition-and-fees/#2023-gr-fees-per-termd620-80b21bef-7b87c659-fdd83416-d107861d-79adfd50-8a0fd1c3-6c58,https://www.physics.brocku.ca/Programs/MSMP_Handbook.pdf,22170,"St. Catharines, Ont 140370 pop large urban pop",25402.386,1628,19536,,,,,,
Brock,385,122,ON,St. Catharines,Physics,Physics Department,PhD,,8176.23,1789.67,9965.9,20926.02,2545.67,23471.69,,No,,,,,,,,2024-04-18,,0,1,1,0,"""Many graduate students require financial assistance to pursue their studies. Graduate students in the
Faculty of Math and Science are eligible for a variety of scholarships, fellowships, and awards
administered by Brock University and the Ontario and Canadian Governments (e.g. NSERC, OGS, etc.) A
listing of these awards can be obtained by consulting the section on Financial Assistance in the Graduate
Studies Calendar""",https://brocku.ca/safa/2024-graduate-tuition-and-fees/#2023-gr-fees-per-termd620-80b21bef-7b87c659-fdd83416-d107861d-79adfd50-8a0fd1c3-6c58,https://www.physics.brocku.ca/Programs/PHD_Handbook.pd,22170,"St. Catharines, Ont 140370 pop large urban pop",25402.386,1628,19536,,,,,,
Dalhousie,825,681,NS,Halifax,Physics,Physics & Atmospheric Science,MSc,https://www.dal.ca/faculty/science/physics/programs/GraduateStudents.html,10651,2101.68,12752.68,18264.8,2857.42,21122.22,,No,2,,,,,,,2024-04-12,,0,0,2,0,"The tuition tables are horribly complictated (and maybe even misslabeled?)  AW adds: Yes, truly awful. Using what was found for Physics and applying it to Biology here. ",https://cdn.dal.ca/content/dam/dalhousie/pdf/admissions/MoneyMatters/Grad%202023-2024.pdf,https://cdn.dal.ca/content/dam/dalhousie/pdf/academics/Graduate%20programs/Medical%20Physics/Grad%20Student%20Handbook-2020-2021.pdf,23264,"Halifax, NS",26655.8912,1909,22908,,,,,,
Dalhousie,825,681,NS,Halifax,Physics,Physics & Atmospheric Science,PhD,,7053,2101.68,9154.68,7053,2857.42,9910.42,,No,4,,,,,,,2024-04-12,,0,0,2,0,"For Dalhousie there is a ""Departmental funding would normally be provided for two years to an MSc student and four years to a PhD student."", but because it's just - normally- there's no minimum. Sourced from graduate handbook",https://cdn.dal.ca/content/dam/dalhousie/pdf/admissions/MoneyMatters/Grad%202023-2024.pdf,https://cdn.dal.ca/content/dam/dalhousie/pdf/academics/Graduate%20programs/Medical%20Physics/Grad%20Student%20Handbook-2020-2021.pdf,23264,"Halifax, NS",26655.8912,1909,22908,,,,,,
Laval,1125,34,QC,Quebec City,Biological Sciences - Ecology,Departemente de Biologie,MSc,https://www.fsg.ulaval.ca/departements/departement-de-biologie,2304.72,975.28,3280,15782.4,975.28,16757.68,,No,,,,,,,,2024-06-04,,,,,,"Average is ~15k for MSc, 20k PhD",https://www.bbaf.ulaval.ca/en/scholarships-bursaries/canadian-citizens-or-permanent-residents/masters-program-funding/,https://www.fsg.ulaval.ca/futurs-etudiants/bourses-couts-et-financement-des-etudes#c41560,20462,Quebec City,23445.3596,1254,15048,,,,,,
Laval,1125,34,QC,Quebec City,Biological Sciences - Ecology,Departemente de Biologie,PhD,,2304.72,975.28,3280,14166.72,975.28,15142,,No,,,,,,,,2024-06-04,,,,,,Tuition based on 2 terms of 12 credits each.,https://www.bbaf.ulaval.ca/en/scholarships-bursaries/canadian-citizens-or-permanent-residents/masters-program-funding/,https://www.fsg.ulaval.ca/futurs-etudiants/bourses-couts-et-financement-des-etudes#c41560,20462,Quebec City,23445.3596,1254,15048,,,,,,
Saskatchewan,1122,475,SK,Saskatoon,Biological Sciences - Ecology,Department of Biology,MSc,https://artsandscience.usask.ca/biology/,4932,1227.45,6159.45,11097,1227.45,12324.45,No,No,2.33,22500,16340.55,,,288,,2024-07-15,2023-2024,0,1.5,1,0,"Stipends are recommended, not guaranteed. In the 2023/4 Graduate Student Handbook: ""As of Sept 1 2023, the Biology department recommended graduate student stipends are as follows:
MSc: $22,500 for up to 28 months time in program
PhD: $24,000 for up to 52 months time in program""",https://students.usask.ca/documents/registrarial/2023-2024-tuition-factsheet.pdf,https://artsandscience.usask.ca/biology/documents/1-biology-grad-handbook_2023-24.pdf,23513,Saskatoon,26941.1954,1055,12660,-10600.6454,3680.55,-8319.45,-16765.6454,-2484.45,-14484.45
Saskatchewan,1122,475,SK,Saskatoon,Biological Sciences - Ecology,Department of Biology,PhD,https://artsandscience.usask.ca/biology/,4932,1227.45,6159.45,4932,1277.45,6209.45,No,No,4.33,24000,17840.55,,,288,,2024-07-15,2023-2024,0,1.5,1,0,,https://students.usask.ca/documents/registrarial/2023-2024-tuition-factsheet.pdf,https://artsandscience.usask.ca/biology/documents/1-biology-grad-handbook_2023-24.pdf,23513,Saskatoon,26941.1954,1055,12660,-9100.6454,5180.55,-6819.45,-9150.6454,5130.55,-6869.45
TMU (Ryerson),1036,155,ON,Toronto,Biological Sciences - Ecology,Department of Chemistry and Biology,MSc,https://www.torontomu.ca/chemistry-biology/graduate-studies/program-overview/,7612.63,1363.99,8976.62,24260,2119.98,26379.98,No,No,0,21500,12523.38,,,0,0,2024-03-20,2023-4,0,0.5,0,0,"No stipend data found. Tuition data provided for whole program (expected time in program) rather than annual on main page. Had to calculate ancillary fees from total fees minus tuition by term. The input $9,000 is based on the ""3-5k per term"" estimate given to me by the department contact. ",https://www.torontomu.ca/current-students/tuition-fees/graduate/,https://www.torontomu.ca/chemistry-biology/graduate-studies/fees-funding/,24864,Toronto,28489.1712,2620,31440,-15965.7912,-18916.62,-30916.62,-33369.1512,-36319.98,-48319.98
TMU (Ryerson),1036,155,ON,Toronto,Biological Sciences - Ecology,Department of Chemistry and Biology,PhD,https://www.torontomu.ca/chemistry-biology/graduate-studies/program-overview/,7612.63,1363.99,8976.62,23240,2119.99,25359.99,No,No,0,25500,16523.38,,,0,0,2024-03-20,2023-4,0,0.5,0,0,"No stipend data found. Tuition data provided for whole program (expected time in program) rather than annual on main page. Had to calculate ancillary fees from total fees minus tuition by term. The input $9,000 is based on the ""3-5k per term"" estimate given to me by the department contact. ",https://www.torontomu.ca/current-students/tuition-fees/graduate/,https://www.torontomu.ca/chemistry-biology/graduate-studies/fees-funding/,24864,Toronto,28489.1712,2620,31440,-11965.7912,-14916.62,-26916.62,-28349.1612,-31299.99,-43299.99
UNBC,132,72,BC,Prince George,Biological Sciences - Ecology,"No departments. MSc and PhD in ""Natural Resources and Environmental Studies (NRES)""",MSc,https://www2.unbc.ca/nres-graduate-program,5460.42,1189.4,6649.82,7644.6,1379.4,9024,,No,,,,,,,,2024-04-29,,1,1,,,"AW: This is the first institution I've seen have a statement on an awards ceiling: ""Currently the Graduate award ceiling is $15,000 per academic year (this does not include external awards)."" No minimum stipend appears to exist for these programs. Fees are itemized, like Thompson Rivers. Good for transparency, difficult to sum. ""All graduate student fees are mandatory and cannot be waived.""",https://www2.unbc.ca/finance/accounts-receivable/fees-unbc#domestic-graduate,,22255,"Prince George BC 74,003 population Medium population Center",25499.779,,,,,,,,
UNBC,132,72,BC,Prince George,Biological Sciences - Ecology,"No departments. MSc and PhD in ""Natural Resources and Environmental Studies (NRES)""",PhD,https://www2.unbc.ca/nres-graduate-program,5460.42,1189.4,6649.82,7644.6,1379.4,9024,,No,,,,,,,,,,,,,,AW: PhD candidates receive an automatic four year tuition grant; so I put $0 for PhD tuition. This information is stated on this page: https://www2.unbc.ca/nres-graduate-program,,,22255,"Prince George BC 74,003 population Medium population Center",25499.779,,,,,,,,
UQAM,628,,QC,Montreal,Physics,"No physics department, using Sciences de l?atmosphäre: mÇtÇo et climat",MSc,http://www.ism.uqam.ca/,4315,,4315,23840,,23840,,No,,,,,,,,2024-06-04,,1,1,0,0,"There is no garanteed stipend by the programs, altough PhD students almost always receive grants or are hired by their research direction.

The university itself offers garanteed grants to all full time doctorate students (""bourse de soutien universel au doctorat""): https://bourses.uqam.ca/trouver-une-bourse/programme-de-bourses-de-soutien-universel-au-doctorat/ . It is 13 000$.

There are also some grants offered to some master students, but it is not for all of them. It gives 4000$: https://bourses.uqam.ca/trouver-une-bourse/bourses-institutionnelles-aux-cycles-superieurs/
Some  grants for master students are specifically offered to international students, to lower the cost of tuition: https://bourses.uqam.ca/trouver-une-bourse/bourses-detudes-droits-de-scolarite-majores/ . 

And of course there are institutionna grants for excellence, as well as a lot of paid research work available (but not garanteed).",,,20753,Montreal,23778.7874,1769,21228,,,,,,
Windsor,427,140,ON,Windsor,Physics,Department of Physics,MSc,https://www.uwindsor.ca/science/physics/,7179.3,1531.45,8710.75,24165,2271.61,26436.61,,No,,,,,,,,2024-04-18,2023-2024,1,2,,,They have only 'typical student stipends are' with no minimums noted.,,https://www.uwindsor.ca/science/physics/sites/uwindsor.ca.science.physics/files/2019-2020_physics_graduate_handbook_without_funding_packages.pdf,22170,"Windsor, Ont 233763 population large population",25402.386,1588,19056,,,,,,
