University,University Total Annual Expenses 2023 [Millions of Dollars],University Endowment [Millions of Dollars],Province,City,Example Department,Department,Program,Domestic Tuition,Ancillary Fees,Total Domestic Fees,International Tuition,Int Ancillary Fees,Total Int Fees,Int Waiver,Guaranteed Funding,Years Guaranteed,Gross Stipend,Net Stipend,Gross Stipend International,Net Stipend Int,Hours TAing,Hours RAing,Date of collection,Academic Year of Stipend,Tuition Get / 2,Tuition Parse / 2,Stipend Get / 3,Stipend Complete / 3,MBM Threshold 2020,Notes on Thresholds ,MBM Threshold 2023,Rental Costs,Rental costs per year,Net domestic - MBM Threshold (2023) ,Net domestic - Rent/year,Net domestic - Rent - $12K,Net International - MBM Threshold (2023) ,Net International - Rent/year,Net International - Rent - $12K
Calgary,1509,1176,AB,Calgary,Biological Sciences - Ecology,Biological Sciences,MSc,3603.96,2025.56,5629.52,8407.53,2025.56,10433.09,,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable,,,,,0,1.5,0,0,25112,Calgary,28773.33,1728,20736,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable
Calgary,1509,1176,AB,Calgary,Biological Sciences - Ecology,Biological Sciences,PhD,3603.96,2025.56,5629.52,8404.53,2025.56,10430.09,,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable,,,,,0,1.5,0,0,25112,Calgary,28773.33,1728,20736,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable
Calgary,1509,1176,AB,Calgary,Physics,Physics and Astronomy,MSc,3603.96,2025.56,5629.52,8407.53,2025.56,10433.09,,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable,,,,,0,1.5,0,0,25112,Calgary,28773.33,1728,20736,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable
Calgary,1509,1176,AB,Calgary,Physics,Physics and Astronomy,PhD,3603.96,2025.56,5629.52,8407.53,2025.56,10433.09,,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable,,,,,0,1.5,0,0,25112,Calgary,28773.33,1728,20736,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable
Lethbridge,209,95,AB,Lethbridge,Biological Sciences - Ecology,Department of Biological Sciences,MSc,6270.33,2415.17,8685.5,14208.24,2415.17,16623.41,,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable,,,,,,,,,23640,"Lethbridge, Alberta. population 106550. Large population center",27086.71,1181,14172,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable
Lethbridge,209,95,AB,Lethbridge,Biological Sciences - Ecology,Department of Biological Sciences,PhD,6129.36,2415.17,8544.53,14208.24,2415.17,16623.41,,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable,,,,,,,,,23640,"Lethbridge, Alberta. population 106550. Large population center",27086.71,1181,14172,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable
Lethbridge,209,95,AB,Lethbridge,Physics,Department of Physics & Astronomy,MSc,6270.33,2415.17,8685.5,14208.24,2415.17,16623.41,,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable,,,,,,,,,23640,"Lethbridge, Alberta. population 106550. Large population center",27086.71,1181,14172,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable
Lethbridge,209,95,AB,Lethbridge,Physics,Department of Physics & Astronomy,PhD,6129.36,2415.17,8544.53,14208.24,2415.17,16623.41,,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable,,,,,,,,,23640,"Lethbridge, Alberta. population 106550. Large population center",27086.71,1181,14172,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable
UNBC,132,72,BC,Prince George,Physics,Department of Physics,MSc,5460.42,1189.4,6649.82,7644.6,1379.4,9024,,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable,,,45379,,0,1,0,0,22255,"Prince George BC 74,003 population Medium population Center",25499.78,Data Unavailabe,Data Unavailabe,Data Unavailabe,Data Unavailabe,Data Unavailabe,Data Unavailabe,Data Unavailabe,Data Unavailabe
Saint Mary's,179,54,NS,Halifax,Physics,Astronomy and Physics,MSc,6591,1713,8304,14596,2748,17344,,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable,,,,,1,2,0,0,23264,Halifax,26655.89,1909,22908,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable,Data Unavailable
