University,Province,City,Tri-Council,Example Department,Faculty,Department,Program,Website,Contact Emails,,Emailed to Obtain,Emailed to Confirm,Domestic Tuition,Ancillary Fees,Total Domestic Fees,OOP Tuition,OOP Waiver,International Tuition,Int Ancillary Fees,Total Int Fees,Int Waiver,Guaranteed Funding,Years Guaranteed,Gross Stipend,Net Stipend,Gross Stipend International,Net Stipend Int,Gross Stipend OOP,Net Stipend OOP,Hours TAing,Hours RAing,Date of collection,Academic Year of Stipend,Tuition Get / 2,Tuition Parse / 2,Stipend Get / 3,Stipend Complete / 3,Notes,Tuition Data,Stipend Data,MBM Threshold 2020,MBM Threshold 2024,Rental Costs,Rental costs per year,Notes on Thresholds ,Net domestic - MBM Threshold (2024) ,Net domestic - MBM Threshold - Rent/year,Net domestic - MBM Threshold - Rent/year w/ 3 roommates (split 4 ways),Total Expenses,Operating Grant,Endowment
Simon Fraser University,BC,Burnaby,NSERC,Biological Sciences - Ecology,Science,Biological Sciences,MSc,https://www.sfu.ca/biology/graduate.html,Department Chair: biscchr@sfu.ca,Grad Program Assistant: biscgrad@sfu.ca,FALSE,FALSE,6198.33,2005.44,8203.77,,,6198.33,2286.44,8484.77,,Yes,2,28000,19796.23,28000,19515.23,,,Up to 336,0,45350,2023-24,2,1.5,3,3,"Winning scholarships do not increase minimum stipend level, no international tuition",https://www.sfu.ca/gradstudies/apply/tuition-and-fees/tuition-types.html,https://www.sfu.ca/biology/graduate/current/financial/funding-policy.html,24482,28974.28,2545,30540,"Located in Burnaby, population 249,197. thus classified as a large population center",-9178.05,-39718.05,-16813.05,873,296,486
,,,,,,,PhD,,,,FALSE,FALSE,6198.33,2005.44,8203.77,,,6198.33,2286.44,8484.77,,Yes,4,28000,19796.23,28000,19515.23,,,Up to 336,0,45350,2023-24,2,1.5,3,3,,,,,,,30540,* Inflation calculator is from Bank of Canada: https://www.bankofcanada.ca/rates/related/inflation-calculator/,-9178.05,-39718.05,-16813.05,873,296,486
,,,NSERC,Physics,Science,Physics,MSc,https://www.sfu.ca/physics/graduate.html,Department Chair: physchr@sfu.ca,Grad Program Assistant: physgrad@sfu.ca,FALSE,FALSE,6198.33,2005.44,8203.77,,,6198.33,2286.44,8484.77,,Yes,2,27000,18796.23,27000,18515,,,Up to 434,0,45350,2023-24,2,2,3,3,Scholarships are topped up,https://www.sfu.ca/students/calendar/2023/fall/fees-and-regulations/tuition-fees/graduate.html,https://www.sfu.ca/physics/graduate/prospective/financial-support.html,,,,30540,,-10178.05,-40718.05,-17813.05,873,296,486
,,,,,,,PhD,,,,FALSE,FALSE,6198.33,2005.44,8203.77,,,6198.33,2286.44,8484.77,,Yes,4,29500,21296.23,29500,21015,,,Up to 343,0,45350,2023-24,2,2,3,3,,,,,,,30540,,-7678.05,-38218.05,-15313.05,873,296,486
,,,SSHRC,Political Science,Social Science / Arts / Humanties,,MA,,,,FALSE,FALSE,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,PhD,,,,FALSE,FALSE,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,SSHRC,History,Social Science / Arts / Humanties,,MA,,,,FALSE,FALSE,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,PhD,,,,FALSE,FALSE,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,CIHR,Medical Science - Biochemistry & Molecular Biology,Medicine,Molecular Biology and Biochemistry,MSc,https://www.sfu.ca/mbb/graduate/prospective.html,"Lisa Craig, Department Chair: licraig@sfu.ca","Jamie Chen, Graduate Program Assistant: mbb@sfu.ca",FALSE,FALSE,6198.33,2005.44,8203.77,,,6198.33,2286.44,8484.77,,Yes,,27000,18796.23,27000,18515.23,,,0,yes,45412,2023-24,1,1.5,3,0,,https://www.sfu.ca/gradstudies/apply/tuition-and-fees/tuition-types.html,https://www.sfu.ca/mbb/graduate/prospective/financial-aid.html,,,,,,,,,,,
,,,,,,,PhD,https://www.sfu.ca/mbb/graduate/prospective.html,,,FALSE,FALSE,6198.33,2004.44,8202.77,,,6198.33,2286.44,8484.77,,Yes,,29000,20797,29000,20515,,,0,yes,45412,2023-24,1,1.5,3,0,,,,,,,,,,,,,,
