University,Province,City,Tri-Council,Example Department,Faculty,Department,Program,Website,Contact Emails,,Emailed to Obtain,Emailed to Confirm,Domestic Tuition,Ancillary Fees,Total Domestic Fees,OOP Tuition,OOP Waiver,International Tuition,Int Ancillary Fees,Total Int Fees,Int Waiver,Guaranteed Funding,Years Guaranteed,Gross Stipend,Net Stipend,Gross Stipend International,Net Stipend Int,Gross Stipend OOP,Net Stipend OOP,Hours TAing,Hours RAing,Date of collection,Academic Year of Stipend,Tuition Get / 2,Tuition Parse / 2,Stipend Get / 3,Stipend Complete / 3,Notes,Tuition Data,Stipend Data,MBM Threshold 2020,MBM Threshold 2024,Rental Costs,Rental costs per year,Notes on Thresholds ,Net domestic - MBM Threshold (2024) ,Net domestic - Rent/year,Net domestic - Rent - $12K,Net International - MBM Threshold (2024) ,Net International - Rent/year,Net International - Rent - $1K,Total Expenses,Operating Grant,Endowment
Brock,ON,St. Catharines,NSERC,Biological Sciences - Ecology,Science,Department of Biological Sciences,MSc,https://brocku.ca/programs/graduate/msc-biol/,askandalis@brocku.ca,"Adonis Skandalis, Graduate Program Director",TRUE,TRUE,,,6725.34,,,,,20401.02,None indicated,Yes,2,16591.2,-3810,23591.2,3190.18,,,10,Not provided,2024-03-12,23-Apr,0,1,0,2,Ancillary fees included in posted tuition. International students charged an additional $750.00 per term (included in total value). Stipend value from TAship given on an hourly rate; I have added TAship to base stipend based on 10 hours a week assuming 24 teaching weeks per year,https://brocku.ca/safa/2024-graduate-tuition-and-fees/#2023-gr-fees-per-termd620-80b21bef-7b87c659-fdd83416-d107861d-79adfd50-8a0fd1c3-6c58,https://brocku.ca/graduate-studies/scholarships-awards/funding/,22170,26238.04,1680,20160,"St. Catharines, Ont 140370 pop large urban pop",-30047.86,-23969.82,-35969.82,-23047.86,-16969.82,-28969.82,385,98,122
British Columbia Institute of Technology,BC,Burnaby,NSERC,Biological Sciences - Ecology,Science,,MSc,,No graduate program,,FALSE,FALSE,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,25285,29924.62,,,"Surrey BC  518467 population - EXCEEDS largest non-vancouver bin (<499,999 pop), so using vancouver numbers",-29924.62,-29924.62,-29924.62,,,,392,167,31
British Columbia Institute of Technology,BC,Burnaby,,Biological Sciences - Ecology,,,PhD,,,,FALSE,FALSE,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,25285,29924.62,,,,-29924.62,-29924.62,-29924.62,,,,392,167,31
Calgary,AB,Calgary,NSERC,Biological Sciences - Ecology,Science,Biological Sciences,MSc,https://grad.ucalgary.ca/future-students/explore-programs/biological-sciences-msc-thesis,sci.grad@ucalgary.ca,Graduate Program Administrator,TRUE,FALSE,3603.96,1997.42,5601.38,,,8407.53,,8407.53,,,,,,,,,,,,,,0,1.5,0,0,,https://calendar.ucalgary.ca/pages/bdf3d650a14247e4912def1671b7ba09,,25112,29719.88,1733,20796,,-29719.88,-20796,-32796,-29719.88,-20796,-32796,1509,601,1176
Calgary,AB,Calgary,,Biological Sciences - Ecology,,,PhD,https://grad.ucalgary.ca/future-students/explore-programs/biological-sciences-phd ,sci.grad@ucalgary.ca,Graduate Program Administrator,TRUE,FALSE,3603.96,1997.42,5601.38,,,8404.53,,8404.53,,,,,,,,,,,,,,0,1.5,0,0,,https://calendar.ucalgary.ca/pages/bdf3d650a14247e4912def1671b7ba09,,25112,29719.88,1733,20796,,-29719.88,-20796,-32796,-29719.88,-20796,-32796,1509,601,1176
Calgary,AB,Calgary,NSERC,Physics,Science,Physics and Astronomy,MSc,,,,TRUE,FALSE,3603.96,1997.42,5601.38,,,8407.53,,8407.53,,,,,,,,,,,,,,0,1.5,0,0,,https://calendar.ucalgary.ca/pages/bdf3d650a14247e4912def1671b7ba09,,25112,29719.88,1733,20796,,-29719.88,-20796,-32796,-29719.88,-20796,-32796,1509,601,1176
Calgary,AB,Calgary,,Physics,,,PhD,,sci.grad@ucalgary.ca,,TRUE,FALSE,3603.96,1997.42,5601.38,,,8407.53,,8407.53,,,,,,,,,,,,,,0,1.5,0,0,,https://calendar.ucalgary.ca/pages/bdf3d650a14247e4912def1671b7ba09,,25112,29719.88,1733,20796,,-29719.88,-20796,-32796,-29719.88,-20796,-32796,1509,601,1176
TMU (Ryerson),ON,Toronto,,Physics,,,PhD,https://www.torontomu.ca/physics/graduate-studies/fields-of-study/,biomed@torontomu.ca,,TRUE,FALSE,7612.63,1815.69,9428.32,8233.06,,23240,2119.99,25359.99,No,,,,,,,,,10,0,2024-03-20,23-Apr,0,0.5,0,0,"No stipend data found. Tuition data provided for whole program (expected time in program) rather than annual on main page. Had to calculate ancillary fees from total fees minus tuition by term. Notes re: fees STUDENTS REGISTERING IN WINTER 2024 MUST ADD $451.70 (TMGSU WINTER HEALTH & DENTAL PLAN) TO TOTAL FEES"" and ""STUDENTS REGISTERING IN WINTER 2024 MUST ADD $504.00 (UNIVERSITY HEALTH INSURANCE PLAN) TO TOTAL FEES""; those values are added here",https://www.torontomu.ca/current-students/tuition-fees/graduate/,NA,24864,29426.37,2479,29748,,-29426.37,-29748,-41748,-29426.37,-29748,-41748,1036,262,155
TMU (Ryerson),ON,Toronto,NSERC,Physics,Science,Department of Physics,MSc,https://www.torontomu.ca/physics/graduate-studies/fields-of-study/,biomed@torontomu.ca,,TRUE,FALSE,8153.12,1815.69,9968.81,9258.48,,24260,3075.69,27335.69,No,,,,,,,,,10,0,2024-03-20,23-Apr,0,0.5,0,0,"No stipend data found. Tuition data provided for whole program (expected time in program) rather than annual on main page. Had to calculate ancillary fees from total fees minus tuition by term. Notes re: fees STUDENTS REGISTERING IN WINTER 2024 MUST ADD $451.70 (TMGSU WINTER HEALTH & DENTAL PLAN) TO TOTAL FEES"" and ""STUDENTS REGISTERING IN WINTER 2024 MUST ADD $504.00 (UNIVERSITY HEALTH INSURANCE PLAN) TO TOTAL FEES""; those values are added here",https://www.torontomu.ca/current-students/tuition-fees/graduate/,NA,24864,29426.37,2479,29748,,-29426.37,-29748,-41748,-29426.37,-29748,-41748,1036,262,155
University of Toronto,ON,Toronto,NSERC,Physics,Science,Physics,MSc,https://www.physics.utoronto.ca/graduate/,gchair@physics.utoronto.ca,"Joseph Thywissen, Associate Chair of Graduate Studies",TRUE,FALSE,6210,,6210,,,28900,,28900,,,,,,,,,,,,,,0,1,0,0,"The link to the page summarizing ""estimated support levels for physics graduate students in their first five years"" returns a 404 error. Pages also give information on parental leave, childcare, and conference attendance support. ",,,24864,29426.37,2479,29748,,-29426.37,-29748,-41748,-29426.37,-29748,-41748,3724,719,3267
University of Toronto,ON,Toronto,,Physics,,,PhD,https://www.physics.utoronto.ca/graduate/,gchair@physics.utoronto.ca,"Joseph Thywissen, Associate Chair of Graduate Studies",TRUE,FALSE,6210,,6210,,,6210,,6210,,,,,,,,,,,,,,0,1,0,0,"The link to the page summarizing ""estimated support levels for physics graduate students in their first five years"" returns a 404 error. The department offers financial support to students near the end of the program, which seems to be a major departure from other graduate programs in the country. ""in their final year in the funded cohort, PhD students will receive a Program Level Fellowship (PLF), whose value is $5,000. This support level allows students to reduce their TA commitment for the year, in order to finish up their thesis research and/or concentrate on the drafting of their final publications and thesis document."" There is also: ""The Doctoral Completion Award (DCA) program is intended to support full-time PhD students who are in the first two years beyond the funded cohort. The full value of the award for 2023/24 is $4,400."" Pages also give information on parental leave, childcare, and conference attendance support. ",,,24864,29426.37,2479,29748,,-29426.37,-29748,-41748,-29426.37,-29748,-41748,3724,719,3267
York,ON,Toronto,NSERC,Biological Sciences - Ecology,Science,Department of Biology,MSc,,,,FALSE,FALSE,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,24864,29426.37,2479,29748,,-29426.37,-29748,-41748,-29426.37,-29748,-41748,1296,399,567
York,ON,Toronto,,Biological Sciences - Ecology,,,PhD,,,,FALSE,FALSE,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,24864,29426.37,2479,29748,,-29426.37,-29748,-41748,-29426.37,-29748,-41748,1296,399,567
