University,University Total Annual Expenses 2023 [Millions of Dollars],University Endowment [Millions of Dollars],Province,City,Example Department,Department,Program,Domestic Tuition,Ancillary Fees,Total Domestic Fees,International Tuition,Int Ancillary Fees,Total Int Fees,Int Waiver,Guaranteed Funding,Years Guaranteed,Gross Stipend,Net Stipend,Gross Stipend International,Net Stipend Int,Hours TAing,Hours RAing,Date of collection,Academic Year of Stipend,Tuition Get / 2,Tuition Parse / 2,Stipend Get / 3,Stipend Complete / 3,MBM Threshold 2020,Notes on Thresholds ,MBM Threshold 2023,Rental Costs,Rental costs per year,Net domestic - MBM Threshold (2023) ,Net domestic - Rent/year,Net domestic - Rent - $12K,Net International - MBM Threshold (2023) ,Net International - Rent/year,Net International - Rent - $12K
Simon Fraser University,873.00,486.00,BC,Burnaby,Biological Sciences - Ecology,Biological Sciences,MSc,6198.33,2200.99,8399.32,6198.33,3043.99,9242.32,,Yes,2.00,28000,19600.68,28000,18757.68,Up to 336,0.00,28/02/2024,2023-24,2.00,1.50,3.00,3.00,25285.00,Vancouver CMA,28971.553,2555,30660,-9370.873,-11059.32,-23059.32,-10213.873,-11902.32,-23902.32
Simon Fraser University,873.00,486.00,BC,Burnaby,Biological Sciences - Ecology,Biological Sciences,PhD,6198.33,2200.99,8399.32,6198.33,3043.99,9242.32,,Yes,4.00,28000,19600.68,28000,18757.68,Up to 336,0.00,28/02/2024,2023-24,2.00,1.50,3.00,3.00,25285.00,Vancouver CMA,28971.553,2555,30660,-9370.873,-11059.32,-23059.32,-10213.873,-11902.32,-23902.32
Simon Fraser University,873.00,486.00,BC,Burnaby,Physics,Physics,MSc,6198.33,2200.99,8399.32,6198.33,3043.99,9242.32,,Yes,2.00,27000,18600.68,27000,17757.68,Up to 434,0.00,28/02/2024,2023-24,2.00,2.00,3.00,3.00,25285.00,Vancouver CMA,28971.553,2555,30660,-10370.873,-12059.32,-24059.32,-11213.873,-12902.32,-24902.32
Simon Fraser University,873.00,486.00,BC,Burnaby,Physics,Physics,PhD,6198.33,2200.99,8399.32,6198.33,3043.99,9242.32,,Yes,4.00,29500,21100.68,29500,20257.68,Up to 343,0.00,28/02/2024,2023-24,2.00,2.00,3.00,3.00,25285.00,Vancouver CMA,28971.553,2555,30660,-7870.873,-9559.32,-21559.32,-8713.873,-10402.32,-22402.32
Calgary,1509.00,1176.00,AB,Calgary,Biological Sciences - Ecology,Biological Sciences,MSc,3603.96,2025.56,5629.52,8407.53,2025.56,10433.09,,NA,NA,NA,NA,NA,NA,,,,,0.00,1.50,0.00,0.00,25112.00,Calgary,28773.3296,1728,20736,NA,NA,NA,NA,NA,NA
Calgary,1509.00,1176.00,AB,Calgary,Biological Sciences - Ecology,Biological Sciences,PhD,3603.96,2025.56,5629.52,8404.53,2025.56,10430.09,,NA,NA,NA,NA,NA,NA,,,,,0.00,1.50,0.00,0.00,25112.00,Calgary,28773.3296,1728,20736,NA,NA,NA,NA,NA,NA
Calgary,1509.00,1176.00,AB,Calgary,Physics,Physics and Astronomy,MSc,3603.96,2025.56,5629.52,8407.53,2025.56,10433.09,,NA,NA,NA,NA,NA,NA,,,,,0.00,1.50,0.00,0.00,25112.00,Calgary,28773.3296,1728,20736,NA,NA,NA,NA,NA,NA
Calgary,1509.00,1176.00,AB,Calgary,Physics,Physics and Astronomy,PhD,3603.96,2025.56,5629.52,8407.53,2025.56,10433.09,,NA,NA,NA,NA,NA,NA,,,,,0.00,1.50,0.00,0.00,25112.00,Calgary,28773.3296,1728,20736,NA,NA,NA,NA,NA,NA
Alberta,1878.00,1728.00,AB,Edmonton,Biological Sciences - Ecology,Biological Sciences,MSc,4732.8,2697.09,7429.89,9406,2697.09,12103.09,,Yes,2.30,25197,17767.11,25197,NA,Half of students suppported by TAing,,29/02/2024,,1.00,2.00,3.00,0.00,24862.00,Edmonton,28486.8796,1279,15348,-10719.7696,2419.11,-9580.89,-15392.9696,-2254.09,-14254.09
Alberta,1878.00,1728.00,AB,Edmonton,Biological Sciences - Ecology,Biological Sciences,PhD,4732.8,2697.09,7429.89,9406,2697.09,12103.09,,Yes,5.00,25917,18487.11,25917,NA,,,29/02/2024,,1.00,2.00,3.00,0.00,24862.00,Edmonton,28486.8796,1279,15348,-9999.7696,3139.11,-8860.89,-14672.9696,-1534.09,-13534.09
Alberta,1878.00,1728.00,AB,Edmonton,Physics,Physics and Geophysics,MSc,4732.8,2697.09,7429.89,9406,2697.09,12103.09,,Yes,2.00,29010,21580.11,29010,NA,12hr/week,,29/02/2024,,1.00,2.00,3.00,1.00,24862.00,Edmonton,28486.8796,1279,15348,-6906.7696,6232.11,-5767.89,-11579.9696,1558.91,-10441.09
Alberta,1878.00,1728.00,AB,Edmonton,Physics,Physics and Geophysics,PhD,4732.8,2697.09,7429.89,9406,2697.09,12103.09,,Yes,45416.00,30720,23290.11,30720,NA,12hr/week,,29/02/2024,,1.00,2.00,3.00,1.00,24862.00,Edmonton,28486.8796,1279,15348,-5196.7696,7942.11,-4057.89,-9869.9696,3268.91,-8731.09
Lethbridge,209.00,95.00,AB,Lethbridge,Biological Sciences - Ecology,Department of Biological Sciences,MSc,6270.33,2415.17,8685.5,14208.24,2415.17,16623.41,,NA,NA,NA,NA,NA,NA,,,,,,,,,23640.00,"Lethbridge, Alberta. population 106550. Large population center",27086.712,1181,14172,NA,NA,NA,NA,NA,NA
Lethbridge,209.00,95.00,AB,Lethbridge,Biological Sciences - Ecology,Department of Biological Sciences,PhD,6129.36,2415.17,8544.53,14208.24,2415.17,16623.41,,NA,NA,NA,NA,NA,NA,,,,,,,,,23640.00,"Lethbridge, Alberta. population 106550. Large population center",27086.712,1181,14172,NA,NA,NA,NA,NA,NA
Lethbridge,209.00,95.00,AB,Lethbridge,Physics,Department of Physics & Astronomy,MSc,6270.33,2415.17,8685.5,14208.24,2415.17,16623.41,,NA,NA,NA,NA,NA,NA,,,,,,,,,23640.00,"Lethbridge, Alberta. population 106550. Large population center",27086.712,1181,14172,NA,NA,NA,NA,NA,NA
Lethbridge,209.00,95.00,AB,Lethbridge,Physics,Department of Physics & Astronomy,PhD,6129.36,2415.17,8544.53,14208.24,2415.17,16623.41,,NA,NA,NA,NA,NA,NA,,,,,,,,,23640.00,"Lethbridge, Alberta. population 106550. Large population center",27086.712,1181,14172,NA,NA,NA,NA,NA,NA
UNBC,132.00,72.00,BC,Prince George,Biological Sciences - Ecology,"No departments. MSc and PhD in ""Natural Resources and Environmental Studies (NRES)""",MSc,5460.42,1189.4,6649.82,7644.6,1379.4,9024,,No,,,,,,,,29/04/2024,,1.00,1.00,,,22255.00,"Prince George BC 74,003 population Medium population Center",25499.779,NA,NA,,,,,,
UNBC,132.00,72.00,BC,Prince George,Biological Sciences - Ecology,"No departments. MSc and PhD in ""Natural Resources and Environmental Studies (NRES)""",PhD,5460.42,1189.4,6649.82,7644.6,1379.4,9024,,No,,,,,,,,,,,,,,22255.00,"Prince George BC 74,003 population Medium population Center",25499.779,NA,NA,,,,,,
UNBC,132.00,72.00,BC,Prince George,Physics,Department of Physics,MSc,5460.42,1189.4,6649.82,7644.6,1379.4,9024,,NA,NA,NA,NA,NA,NA,,,28/03/2024,,0.00,1.00,0.00,0.00,22255.00,"Prince George BC 74,003 population Medium population Center",25499.779,NA,NA,NA,NA,NA,NA,NA,NA
UBC,3281.00,2800.00,BC,Vancouver,Biological Sciences - Ecology,Zoology,MSc,5515.71,1076.7,6592.41,9690.18,1313.7,11003.88,,Yes,"""as long as they make satisfactory progress in their program""",30000,23407.59,30000,28686.3,,,29/04/2024,2023/2024,,,3.00,,25285.00,Vancouver,28971.553,2988,35856,-5563.963,-12448.41,-24448.41,-285.253,-7169.7,-19169.7
UBC,3281.00,2800.00,BC,Vancouver,Biological Sciences - Ecology,Zoology,PhD,5515.71,1076.7,6592.41,9690.18,1313.7,11003.88,,Yes,"""as long as they make satisfactory progress in their program""",30000,23407.59,30000,28686.3,,,29/04/2024,2023/2024,,,3.00,,25285.00,Vancouver,28971.553,2988,35856,-5563.963,-12448.41,-24448.41,-285.253,-7169.7,-19169.7
UBC,3281.00,2800.00,BC,Vancouver,Physics,Department of Physics & Astronomy,MSc,5515.71,1076.7,6592.41,9690.18,1313.7,11003.88,3200.00,Yes,2.00,28278,21685.59,28278,20474.12,288.00,,28/03/2024,2023/2024,2.00,2.00,3.00,3.00,25285.00,Vancouver,28971.553,2988,35856,-7285.963,-14170.41,-26170.41,-8497.433,-15381.88,-27381.88
UBC,3281.00,2800.00,BC,Vancouver,Physics,Department of Physics & Astronomy,PhD,5515.71,1076.7,6592.41,9690.18,1313.7,11003.88,3200.00,Yes,4.00,33878,27285.59,33878,26074.12,288.00,,28/03/2024,2023/2024,2.00,2.00,3.00,3.00,25285.00,Vancouver,28971.553,2988,35856,-1685.963,-8570.41,-20570.41,-2897.433,-9781.88,-21781.88
Victoria,691.00,523.00,BC,Victoria,Biological Sciences - Ecology,Department of Biology,MSc,6403.62,1356.88,7760.5,8076.9,1356.88,9433.78,,Yes,2.00,22000,14239.5,22000,12566.22,,,29/04/2024,2023/2024,0.00,1.00,3.00,2.00,22255.00,"Victoria BC ~91000, near the threshold for large population center. Medium is used.",25499.779,2080,24960,-12099.14,-10720.5,-22720.5,-13772.42,-12393.78,-24393.78
Victoria,691.00,523.00,BC,Victoria,Biological Sciences - Ecology,Department of Biology,PhD,6403.62,1356.88,7760.5,8076.9,1356.88,9433.78,,Yes,4.00,22000,14239.5,22000,12566.22,,,29/04/2024,2023/2024,0.00,1.00,3.00,2.00,22255.00,"Victoria BC ~91000, near the threshold for large population center. Medium is used.",25499.779,2080,24960,-12099.14,-10720.5,-22720.5,-13772.42,-12393.78,-24393.78
Victoria,691.00,523.00,BC,Victoria,Physics,Department of Physics & Astronomy,MSc,6403.62,1356.88,7760.5,8076.9,1356.88,9433.78,,Yes,2*,24967,17206.5,26467,17033.22,100.00,,2024/03-28,2023/2024,0.00,0.50,1.00,2.00,22255.00,"Victoria BC ~91000, near the threshold for large population center. Medium is used.",25499.779,2080,24960,-9132.14,-7753.5,-19753.5,-9305.42,-7926.78,-19926.78
Victoria,691.00,523.00,BC,Victoria,Physics,Department of Physics & Astronomy,PhD,6403.62,1356.88,7760.5,8076.9,1356.88,9433.78,,Yes,4*,26867,19106.5,28367,18933.22,100.00,,2024/03-28,2023/2024,0.00,0.50,1.00,2.00,22255.00,"Victoria BC ~91000, near the threshold for large population center. Medium is used.",25499.779,2080,24960,-7232.14,-5853.5,-17853.5,-7405.42,-6026.78,-18026.78
Manitoba,959.00,936.00,MB,Winnipeg,Biological Sciences - Ecology,Department of Biological Sciences,MSc,6459.88,1673.37,8133.25,13548.24,3049.37,16597.61,,Yes,2.00,17000,8866.75,17000,402.39,0.00,,16/07/2024,,Obtained by email,Obtained by email,Obtained by email,Obtained by email,22714.00,Winnipeg,26025.7012,1232,14784,-17158.9512,-5917.25,-17917.25,-25623.3112,-14381.61,-26381.61
Manitoba,959.00,936.00,MB,Winnipeg,Biological Sciences - Ecology,Department of Biological Sciences,PhD,6459.88,1673.37,8133.25,6459.88,3049.37,9509.25,,Yes,4.00,21000,12866.75,21000,11490.75,0.00,,16/07/2024,,Obtained by email,Obtained by email,Obtained by email,Obtained by email,22714.00,Winnipeg,26025.7012,1232,14784,-13158.9512,-1917.25,-13917.25,-14534.9512,-3293.25,-15293.25
Manitoba,959.00,936.00,MB,Winnipeg,Physics,Physics & Astronomy,MSc,6459.88,1673.37,8133.25,13548.24,3049.37,16597.61,,Yes,,22650,14516.75,22650,6052.39,0.00,,28/03/2024,2023/2024,0.00,0.50,1.00,1.00,22714.00,Winnipeg,26025.7012,1232,14784,-11508.9512,-267.25,-12267.25,-19973.3112,-8731.61,-20731.61
